Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/28/20 23:00,3554,125.0,80.0
Guangdong,China,1/28/20 23:00,207,,4.0
Zhejiang,China,1/28/20 23:00,173,,3.0
Henan,China,1/28/20 23:00,168,1.0,
Hunan,China,1/28/20 23:00,143,,
Chongqing,China,1/28/20 23:00,132,,
Jiangxi,China,1/28/20 23:00,109,,3.0
Anhui,China,1/28/20 23:00,106,,
Shandong,China,1/28/20 23:00,95,,
Beijing,China,1/28/20 23:00,91,1.0,4.0
Sichuan,China,1/28/20 23:00,90,,
Fujian,China,1/28/20 23:00,80,,
Jiangsu,China,1/28/20 23:00,70,,1.0
Shanghai,China,1/28/20 23:00,66,1.0,4.0
Guangxi,China,1/28/20 23:00,51,,2.0
Shaanxi,China,1/28/20 23:00,46,,
Yunnan,China,1/28/20 23:00,44,,
Hainan,China,1/28/20 23:00,40,1.0,
Liaoning,China,1/28/20 23:00,34,,
Hebei,China,1/28/20 23:00,33,1.0,
Heilongjiang,China,1/28/20 23:00,33,1.0,
Shanxi,China,1/28/20 23:00,27,,
Tianjin,China,1/28/20 23:00,24,,
Gansu,China,1/28/20 23:00,19,,
Inner Mongolia,China,1/28/20 23:00,15,,
Ningxia,China,1/28/20 23:00,11,,
Xinjiang,China,1/28/20 23:00,10,,
Guizhou,China,1/28/20 23:00,9,,
Jilin,China,1/28/20 23:00,8,,
Taiwan,"Taiwan, Province of China",1/28/20 23:00,8,,
Hong Kong,Hong Kong,1/28/20 23:00,8,,
Macau,Macao,1/28/20 23:00,7,,
Qinghai,China,1/28/20 23:00,6,,
Washington,United States,1/28/20 23:00,1,,
Illinois,United States,1/28/20 23:00,1,,
California,United States,1/28/20 23:00,2,,
Arizona,United States,1/28/20 23:00,1,,
,Japan,1/28/20 23:00,7,,1.0
,Thailand,1/28/20 23:00,14,,5.0
,"Korea, Republic of",1/28/20 23:00,4,,
,Singapore,1/28/20 23:00,7,,
,Viet Nam,1/28/20 23:00,2,,
,France,1/28/20 23:00,4,,
,Nepal,1/28/20 23:00,1,,
,Malaysia,1/28/20 23:00,4,,
Ontario,Canada,1/28/20 23:00,1,,
British Columbia,Canada,1/28/20 23:00,1,,
,Cambodia,1/28/20 23:00,1,,
,Sri Lanka,1/28/20 23:00,1,,
New South Wales,Australia,1/28/20 23:00,4,,
Victoria,Australia,1/28/20 23:00,1,,
Bavaria,Germany,1/28/20 23:00,4,,
